Rank,Game,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,date,Avg_players,Gain_players,Peak_players,avg_peak_perc_players
2,Counter-Strike: Global Offensive,2016,47832863,830105,372654,2197,120849,64378,1117,57.62,2016-01-01,365371.09,-12076.02,667432,54.7428%
3,Dota 2,2016,45185893,433397,315083,1100,44074,60815,583,104.26,2016-01-01,612174.78,38830.53,1067949,57.3225%
5,Call of Duty: Black Ops III,2016,16153057,1151578,71639,3620,214054,21740,1549,14.03,2016-01-01,14292.49,-3074.66,30760,46.4645%
16,Tom Clancy's Rainbow Six Siege,2016,4866039,242134,25742,694,42244,6549,325,20.1,2016-01-01,10244.29,2302.84,20006,51.2061%
19,Grand Theft Auto V,2016,4014296,407172,32724,1197,85441,5402,548,9.86,2016-01-01,46993.33,3118.61,93726,50.1391%
20,SMITE,2016,3788701,114041,70542,296,15389,5099,153,33.22,2016-01-01,10017.13,2280.18,21473,46.6499%
26,Arma 3,2016,2542838,86219,32132,275,8771,3422,116,29.49,2016-01-01,22559.44,3797.34,43922,51.3625%
27,DayZ,2016,2321012,71715,30208,208,6985,3123,96,32.36,2016-01-01,8329.42,888.95,16423,50.718%
30,ARK: Survival Evolved,2016,1951875,93060,19486,241,9575,2627,125,20.97,2016-01-01,39054.41,6961.48,67018,58.2745%
35,Path of Exile,2016,1701987,63038,5337,157,5160,2290,84,27.0,2016-01-01,9702.54,2.73,18744,51.7634%
36,Fallout 4,2016,1681938,269643,12713,781,51042,2263,362,6.24,2016-01-01,54826.47,-39309.9,119272,45.9676%
37,Rocket League,2016,1566964,151028,68040,402,36282,2108,203,10.38,2016-01-01,24187.59,3790.17,46114,52.4517%
38,Dragon's Dogma: Dark Arisen,2016,1511191,34912,37730,381,4363,2033,46,43.29,2016-01-01,13191.52,-1031.1063636363635,27259,48.3933%
40,Punch Club,2016,1410837,11803,43813,61,2345,1898,15,119.53,2016-01-01,1390.28,1388.76,4277,32.506%
42,Rust,2016,1346240,47734,30867,137,6432,1811,64,28.2,2016-01-01,27647.06,9173.0,50628,54.6082%
44,The Elder Scrolls V: Skyrim,2016,1192580,32134,32296,82,4854,1605,43,37.11,2016-01-01,31268.14,1570.55,60553,51.6376%
49,Euro Truck Simulator 2,2016,1109797,47937,33826,168,7000,1493,64,23.15,2016-01-01,13443.43,1918.39,33173,40.5252%
101,BattleBlock Theater,2016,332256,2041,152739,19,1097,447,2,162.79,2016-01-01,720.36,-16.54,1770,40.6983%
102,MapleStory,2016,330133,14881,13613,41,1425,444,20,22.18,2016-01-01,812.27,-587.27,1756,46.2568%
103,Team Fortress 2,2016,329765,25296,32609,86,4933,443,34,13.04,2016-01-01,52763.52,-209.42,80583,65.4772%
105,Ultra Street Fighter IV,2016,319472,11874,10931,42,2275,429,15,26.91,2016-01-01,1027.89,-101.44,1504,68.3438%
108,American Truck Simulator,2016,314055,724,43089,48,186,422,0,433.78,2016-01-01,3.67,3.27,43,8.5349%
109,Nuclear Throne,2016,312687,5744,30008,29,1387,420,7,54.44,2016-01-01,667.82,52.55,1190,56.1193%
110,Call of Duty: Black Ops II,2016,309850,29294,4491,100,4841,417,39,10.58,2016-01-01,405.66,-33.05,870,46.6276%
111,Portal 2,2016,306977,7278,143611,38,2539,413,9,42.18,2016-01-01,3253.01,-246.67,8814,36.9073%
115,SpeedRunners,2016,298927,2336,22570,18,911,402,3,127.97,2016-01-01,483.46,1.49,1110,43.555%
120,Outlast,2016,287278,16863,100468,72,6258,386,22,17.04,2016-01-01,185.22,9.77,471,39.3248%
122,Kerbal Space Program,2016,283635,11554,5948,36,1450,381,15,24.55,2016-01-01,3865.33,219.79,7166,53.9399%
127,Left 4 Dead 2,2016,275962,15441,106789,61,4527,371,20,17.87,2016-01-01,12405.26,1500.59,25363,48.9109%
129,7 Days to Die,2016,269681,12131,4405,44,1240,362,16,22.23,2016-01-01,7171.76,190.74,14620,49.0544%
132,Farming Simulator 15,2016,266197,28583,5336,92,3566,358,38,9.31,2016-01-01,4082.74,480.21,9801,41.6564%
133,Terraria,2016,264591,28667,11834,88,5705,356,38,9.23,2016-01-01,20924.99,1390.62,39425,53.0754%
135,Alien: Isolation,2016,264294,11799,9590,42,3968,355,15,22.4,2016-01-01,429.59,61.77,1136,37.816%
136,Dying Light,2016,261219,45695,6387,140,11492,351,61,5.72,2016-01-01,5105.14,861.87,14189,35.9796%
137,The Forest,2016,258927,10618,33168,43,2609,348,14,24.39,2016-01-01,2805.81,721.09,6245,44.9289%
151,Mount Your Friends,2016,235451,1038,39074,15,636,316,1,226.83,2016-01-01,113.92,35.39,355,32.0901%
154,The Long Dark,2016,228802,6161,13612,25,1365,307,8,37.14,2016-01-01,1477.42,516.35,3850,38.3745%
156,Grand Theft Auto: San Andreas,2016,223408,10551,4168,43,3142,300,14,21.17,2016-01-01,846.07,102.45,1899,44.5534%
157,SOMA,2016,222419,4496,92396,23,1303,299,6,49.47,2016-01-01,149.84,15.95,475,31.5453%
158,Hurtworld,2016,217722,13168,14893,49,1728,293,17,16.53,2016-01-01,5306.33,-1407.4,9986,53.1377%
159,Grand Theft Auto III,2016,216252,1118,142392,22,222,291,1,193.43,2016-01-01,76.39,3.52,211,36.2038%
160,Just Cause 3,2016,216181,38144,13047,146,11824,290,51,5.67,2016-01-01,4784.69,-3902.53,12681,37.7312%
163,Half-Life 2,2016,211067,2357,162911,16,669,284,3,89.55,2016-01-01,1051.13,23.9,2494,42.1464%
164,Mirror's Edge,2016,209507,1528,186567,35,501,281,2,137.11,2016-01-01,205.72,-34.51,646,31.8452%
166,Move or Die,2016,202884,1275,32211,12,319,273,1,159.12,2016-01-01,60.39,59.53,351,17.2051%
167,Subnautica,2016,201729,5619,32141,27,1133,271,7,35.9,2016-01-01,1532.92,886.46,3339,45.9096%
174,Don't Starve,2016,190157,10890,2190,37,2523,255,14,17.46,2016-01-01,4439.29,3.6,8721,50.9035%
188,Company of Heroes 2,2016,176089,7386,1512,25,834,236,9,23.84,2016-01-01,5140.51,245.59,9524,53.9743%
189,Tabletop Simulator,2016,175903,3146,18401,20,967,236,4,55.91,2016-01-01,1314.89,764.63,3439,38.2347%
190,Naval Action,2016,175541,5660,20381,44,535,236,7,31.01,2016-01-01,2157.2,-159.38090909090909,5221,41.3178%
191,Borderlands 2,2016,175135,21849,3376,71,4039,235,29,8.02,2016-01-01,8845.13,399.86,17772,49.77%
197,Cities: Skylines,2016,172577,8602,7371,30,1827,232,11,20.06,2016-01-01,6573.3,1348.72,13946,47.1339%
2,Counter-Strike: Global Offensive,2016,44933218,754901,235027,2097,106074,64652,1086,59.52,2016-02-01,376285.02,10913.93,738969,50.9203%
3,Dota 2,2016,41174229,384500,241065,1015,36912,59243,553,107.09,2016-02-01,709178.26,97003.48,1248394,56.8072%
5,Call of Duty: Black Ops III,2016,18200850,1392300,95397,4443,225521,26188,2003,13.07,2016-02-01,13504.68,-787.81,36698,36.7995%
9,XCOM 2,2016,6399599,101051,76838,782,9604,9208,145,63.33,2016-02-01,42239.38,-3827.887,132677,31.8362%
14,Street Fighter V,2016,4582582,68678,76768,760,15635,6593,98,66.73,2016-02-01,5895.93,-434.585,13807,42.7025%
18,Tom Clancy's Rainbow Six Siege,2016,3237323,219127,28240,628,36759,4658,315,14.77,2016-02-01,9263.47,-980.81,16044,57.7379%
19,Grand Theft Auto V,2016,3216017,342897,40319,1113,70020,4627,493,9.38,2016-02-01,40013.1,-6980.23,72735,55.0122%
22,Arma 3,2016,2912034,86145,35446,291,8273,4189,123,33.8,2016-02-01,22624.93,65.49,48734,46.4253%
23,SMITE,2016,2760980,113862,18077,360,16537,3972,163,24.25,2016-02-01,10076.04,58.91,18977,53.0961%
31,American Truck Simulator,2016,2134600,62514,47163,363,7784,3071,89,34.15,2016-02-01,7299.07,7295.4,19138,38.1391%
33,DayZ,2016,1958480,63496,17834,223,5873,2817,91,30.84,2016-02-01,7260.46,-1068.96,13983,51.9235%
37,Rocket League,2016,1842858,185207,18130,640,45485,2651,266,9.95,2016-02-01,25698.97,1511.38,50359,51.0315%
39,Dying Light,2016,1658021,108883,33983,544,25127,2385,156,15.23,2016-02-01,8041.97,2936.83,23073,34.8545%
40,ARK: Survival Evolved,2016,1609781,77116,10969,203,8888,2316,110,20.87,2016-02-01,37747.59,-1306.82,65577,57.5622%
43,Firewatch,2016,1569072,28712,149305,700,8421,2257,41,54.65,2016-02-01,1836.8,-163.906,17521,10.4834%
45,Rust,2016,1464908,52721,32222,158,6844,2107,75,27.79,2016-02-01,32394.57,4747.51,61260,52.8805%
46,Path of Exile,2016,1325757,36739,25344,98,3425,1907,52,36.09,2016-02-01,5953.71,-3748.83,10241,58.136%
54,Stardew Valley,2016,891333,11046,46505,243,2034,1282,15,80.69,2016-02-01,1594.72,1594.19,24496,6.5101%
56,Layers of Fear,2016,769971,18467,22325,180,6339,1107,26,41.69,2016-02-01,152.87,124.27,738,20.7141%
57,ShellShock Live,2016,699235,3936,63570,26,928,1006,5,177.65,2016-02-01,610.27,597.58,1554,39.2709%
58,Garry's Mod,2016,694315,34848,28763,119,7268,999,50,19.92,2016-02-01,34290.27,-3142.56,64930,52.8111%
59,Fallout 4,2016,683405,149634,12375,391,29191,983,215,4.57,2016-02-01,32733.17,-22093.3,61739,53.0186%
61,Rise of the Tomb Raider,2016,646649,32074,15297,173,6445,930,46,20.16,2016-02-01,10274.28,-734.735,27945,36.7661%
67,The Witness,2016,509001,16728,30359,105,2982,732,24,30.43,2016-02-01,1348.43,731.44,4979,27.0823%
70,Mortal Kombat X,2016,468326,23344,18537,88,6517,673,33,20.06,2016-02-01,538.89,-301.03,1128,47.7739%
71,Knight Online,2016,464047,7736,3184,29,523,667,11,59.99,2016-02-01,17776.01,12631.92,24542,72.431%
73,The Witcher 3: Wild Hunt,2016,437326,43966,8528,133,7843,629,63,9.95,2016-02-01,7739.3,-3314.15,14799,52.2961%
75,Warframe,2016,428426,84002,13152,237,13464,616,120,5.1,2016-02-01,31909.25,1199.69,49683,64.2257%
77,Cities: Skylines,2016,386975,13155,13723,80,2590,556,18,29.42,2016-02-01,8513.44,1940.14,27598,30.848%
78,SUPERHOT,2016,384833,4797,49550,108,2159,553,6,80.22,2016-02-01,2274.36,-215.026,5533,41.1054%
79,Sid Meier's Civilization V,2016,382560,11711,2281,41,2043,550,16,32.67,2016-02-01,42423.98,-182.77,74716,56.7803%
86,The Elder Scrolls Online,2016,353582,45507,2373,128,7096,508,65,7.77,2016-02-01,2523.94,-1346.39,4524,55.79%
87,Undertale,2016,345840,25568,5832,97,6056,497,36,13.53,2016-02-01,4637.97,-335.53,8996,51.5559%
88,Golf With Your Friends,2016,330703,863,41428,11,384,475,1,383.2,2016-02-01,69.36,68.28,270,25.6889%
95,Dragon's Dogma: Dark Arisen,2016,294010,11882,4538,51,1670,423,17,24.74,2016-02-01,3944.9,-9246.61,9844,40.0742%
96,Scrap Mechanic,2016,290843,7009,12555,30,1302,418,10,41.5,2016-02-01,1565.0,502.55,3272,47.8301%
98,Call of Duty: Black Ops II,2016,287274,28044,21911,95,4186,413,40,10.24,2016-02-01,350.2,-55.46,772,45.3627%
99,APB Reloaded,2016,277614,10747,17386,37,1073,399,15,25.83,2016-02-01,1555.88,85.54,2797,55.6267%
100,MapleStory,2016,272771,12398,2638,34,1127,392,17,22.0,2016-02-01,527.75,-284.53,1262,41.8185%
101,Team Fortress 2,2016,270708,23017,7883,88,4509,389,33,11.76,2016-02-01,52864.72,101.19,83544,63.2777%
102,Outlast,2016,263859,15075,8686,64,5545,379,21,17.5,2016-02-01,214.45,29.23,522,41.0824%
103,The Elder Scrolls V: Skyrim,2016,263366,27231,6791,73,3956,378,39,9.67,2016-02-01,27014.8,-4253.33,48970,55.166%
106,Grim Dawn,2016,252032,8944,12691,53,1063,362,12,28.18,2016-02-01,3303.42,-150.39,15206,21.7245%
107,Kerbal Space Program,2016,247584,9266,5100,33,1332,356,13,26.72,2016-02-01,3677.4,-187.93,6683,55.0262%
110,Tales from the Borderlands,2016,232835,3140,13971,18,792,335,4,74.15,2016-02-01,284.22,-175.18,686,41.4315%
111,Euro Truck Simulator 2,2016,229471,23108,5815,100,4726,330,33,9.93,2016-02-01,9682.49,-3760.94,21205,45.6614%
112,Terraria,2016,229377,22403,1960,69,4280,330,32,10.24,2016-02-01,15533.39,-5391.61,26573,58.4555%
115,Left 4 Dead 2,2016,222387,12767,22280,40,3644,319,18,17.42,2016-02-01,11770.73,-634.52,25228,46.6574%
116,Hitman: Absolution,2016,206686,1512,35817,15,478,297,2,136.7,2016-02-01,853.72,-84.21,1765,48.3694%
123,Farming Simulator 15,2016,190807,25378,2119,87,3183,274,36,7.52,2016-02-01,4205.67,122.93,11477,36.6443%
131,Grand Theft Auto: San Andreas,2016,179627,8607,3771,39,2416,258,12,20.87,2016-02-01,768.37,-77.7,1668,46.0653%
132,FTL: Faster Than Light,2016,178725,3598,10855,18,813,257,5,49.67,2016-02-01,1351.19,-282.31,2467,54.7706%
138,War Thunder,2016,171046,24090,1357,81,3906,246,34,7.1,2016-02-01,10393.47,-799.36,17810,58.3575%
145,Don't Starve,2016,159554,8190,1982,27,1920,229,11,19.48,2016-02-01,3787.57,-651.72,6603,57.3614%
146,Dishonored,2016,157621,2206,10594,15,772,226,3,71.45,2016-02-01,636.86,-360.18,1254,50.7863%
147,Company of Heroes 2,2016,156035,7282,1703,30,848,224,10,21.43,2016-02-01,5620.76,480.25,10814,51.9767%
149,Far Cry 4,2016,154461,20024,4862,64,5271,222,28,7.71,2016-02-01,2048.75,-149.27,4810,42.5936%
150,Borderlands 2,2016,153056,19789,3670,63,3644,220,28,7.73,2016-02-01,8749.26,-95.87,16127,54.2522%
156,Ultra Street Fighter IV,2016,142980,5836,6958,31,1519,205,8,24.5,2016-02-01,698.27,-329.62,1290,54.1295%
159,7 Days to Die,2016,139365,8921,3812,34,887,200,12,15.62,2016-02-01,4994.01,-2177.75,8460,59.0309%
160,ArcheAge,2016,138994,6033,2646,23,681,199,8,23.04,2016-02-01,1560.92,-178.83,2433,64.1562%
164,Dead Space,2016,130525,2307,7780,14,598,187,3,56.58,2016-02-01,99.24,-7.35,235,42.2298%
165,MechWarrior Online,2016,130316,8681,29599,36,781,187,12,15.01,2016-02-01,1685.05,-579.42,2993,56.2997%
175,The Forest,2016,119987,10790,8125,44,2507,172,15,11.12,2016-02-01,3028.66,222.85,6306,48.0282%
176,SpeedRunners,2016,118640,2273,11108,18,943,170,3,52.2,2016-02-01,525.69,42.23,1570,33.4834%
180,NEKOPARA Vol. 2,2016,116412,498,27734,13,135,167,0,233.76,2016-02-01,324.93,-26.784,1206,26.9428%
181,Trove,2016,116336,8761,1640,35,1192,167,12,13.28,2016-02-01,6626.46,-469.62,11857,55.8865%
182,Tabletop Simulator,2016,115268,2825,29955,25,902,165,4,40.8,2016-02-01,1282.17,-32.73,3012,42.5687%
185,Don't Starve Together,2016,112703,10294,3187,39,2364,162,14,10.95,2016-02-01,6572.23,-1120.38,14376,45.7167%
187,Naval Action,2016,109813,8383,1184,42,658,158,12,13.1,2016-02-01,2431.14,273.94,4842,50.2094%
188,Alien: Isolation,2016,109754,7771,10235,35,2653,157,11,14.12,2016-02-01,348.61,-80.98,949,36.7345%
193,PAYDAY 2,2016,104133,19865,2690,66,4244,149,28,5.24,2016-02-01,11371.32,-4476.37,25887,43.9268%
194,Rabi-Ribi,2016,100594,2944,17014,19,462,144,4,34.17,2016-02-01,341.2,246.06,670,50.9254%
195,TERA,2016,99756,14152,747,38,1491,143,20,7.05,2016-02-01,0.29,0.26,3,9.6667%
198,Punch Club,2016,97478,2178,3803,19,653,140,3,44.76,2016-02-01,468.82,-921.47,1326,35.356%
200,Subnautica,2016,95550,5047,3531,25,1093,137,7,18.93,2016-02-01,1554.38,21.45,4137,37.5726%
2,Counter-Strike: Global Offensive,2016,71963213,742531,784934,1940,104144,96854,999,96.92,2016-03-01,379426.95,3141.92,737599,51.4408%
3,Dota 2,2016,42565423,363215,339020,952,34612,57288,488,117.19,2016-03-01,672554.89,-36623.36,1291328,52.0824%
5,Tom Clancy's The Division,2016,19700030,1008790,159832,5280,158048,26514,1357,19.53,2016-03-01,65065.31,-5670.842222222223,113877,57.1365%
6,Call of Duty: Black Ops III,2016,14304986,1237908,118602,3819,209865,19253,1666,11.56,2016-03-01,11877.23,-1627.45,29517,40.2386%
10,Stardew Valley,2016,5925311,137735,50884,375,15288,7974,185,43.02,2016-03-01,34947.46,33352.74,64256,54.3879%
16,Street Fighter V,2016,5004563,61023,98493,212,11677,6735,82,82.01,2016-03-01,2957.09,-2938.83,6961,42.4808%
21,Path of Exile,2016,3896026,95545,22761,678,6648,5243,128,40.78,2016-03-01,16752.61,10798.89,37266,44.9541%
26,SMITE,2016,2962622,154060,26556,467,24850,3987,207,19.23,2016-03-01,11009.02,932.98,23488,46.8708%
28,Grand Theft Auto V,2016,2665320,333677,38375,1031,71496,3587,449,7.99,2016-03-01,34000.43,-6012.67,64633,52.6054%
30,Arma 3,2016,2637418,82520,39594,292,7638,3549,111,31.96,2016-03-01,21733.23,-891.7,45506,47.759%
33,Tom Clancy's Rainbow Six Siege,2016,1912821,152463,20699,503,26653,2574,205,12.55,2016-03-01,6125.46,-3138.02,11234,54.5261%
34,Rocket League,2016,1881084,189233,21120,505,47759,2531,254,9.94,2016-03-01,24542.79,-1156.18,45882,53.4911%
37,Rust,2016,1670685,48755,19492,156,5945,2248,65,34.27,2016-03-01,27267.6,-5126.97,55147,49.4453%
41,DayZ,2016,1395386,54686,9739,182,4972,1878,73,25.52,2016-03-01,5993.36,-1267.1,13218,45.3424%
43,ARK: Survival Evolved,2016,1369715,72746,51065,180,7444,1843,97,18.83,2016-03-01,35664.04,-2083.55,63069,56.5477%
54,Mortal Kombat X,2016,881916,42941,13131,235,12530,1186,57,20.54,2016-03-01,580.44,41.55,1232,47.1136%
58,Garry's Mod,2016,815354,29790,36454,114,6392,1097,40,27.37,2016-03-01,30958.2,-3332.07,58183,53.2083%
59,Fallout 4,2016,799692,150412,17665,713,30193,1076,202,5.32,2016-03-01,28526.47,-4206.69,57102,49.957%
64,Factorio,2016,602227,20478,26241,66,2475,810,27,29.41,2016-03-01,9005.43,6846.76,16170,55.6922%
70,Sid Meier's Civilization V,2016,465959,11077,6905,43,1744,627,14,42.07,2016-03-01,37001.98,-5422.0,65453,56.5321%
74,Knight Online,2016,445258,7463,3329,26,527,599,10,59.66,2016-03-01,13996.94,-3779.08,20082,69.6989%
75,Faeria,2016,416347,2855,15335,17,280,560,3,145.83,2016-03-01,184.71,2.4322222222222285,408,45.2721%
76,XCOM 2,2016,406187,18384,4132,82,2232,546,24,22.09,2016-03-01,10179.11,-32060.26,24055,42.316%
77,Warframe,2016,401514,74371,13526,213,12646,540,100,5.4,2016-03-01,33747.55,1838.3,66308,50.8951%
78,ShellShock Live,2016,396952,4415,35181,22,1016,534,5,89.91,2016-03-01,928.75,318.47,1857,50.0135%
81,Team Fortress 2,2016,384852,25859,2995,88,4979,517,34,14.88,2016-03-01,52754.37,-110.34,83425,63.2357%
82,American Truck Simulator,2016,369650,21038,18702,80,3152,497,28,17.57,2016-03-01,3555.84,-3743.23,7665,46.3906%
92,The Elder Scrolls Online,2016,318698,41402,5387,105,6865,428,55,7.7,2016-03-01,2424.92,-99.02,4852,49.9777%
97,Kerbal Space Program,2016,288180,8475,4332,32,1268,387,11,34.0,2016-03-01,3310.21,-367.19,6138,53.9298%
100,Golf With Your Friends,2016,264751,1882,41114,16,671,356,2,140.68,2016-03-01,156.26,86.9,386,40.4819%
101,The Elder Scrolls V: Skyrim,2016,264156,26735,4284,72,3852,355,35,9.88,2016-03-01,24092.01,-2922.8,43840,54.9544%
107,Call of Duty: Black Ops II,2016,248941,27843,2760,87,4066,335,37,8.94,2016-03-01,323.81,-26.39,667,48.5472%
113,Euro Truck Simulator 2,2016,221342,21718,7324,93,3424,297,29,10.19,2016-03-01,8234.14,-1448.35,17046,48.3054%
114,The Witcher 3: Wild Hunt,2016,220951,36497,2893,105,6973,297,49,6.05,2016-03-01,5797.01,-1942.29,11539,50.2384%
116,Worms Revolution,2016,215933,558,35071,8,206,290,0,386.98,2016-03-01,116.42,-49.81,301,38.6777%
120,MapleStory,2016,208359,12685,1953,36,1071,280,17,16.43,2016-03-01,473.62,-54.13,963,49.1817%
122,Farming Simulator 15,2016,204663,27930,3464,97,3221,275,37,7.33,2016-03-01,3844.45,-361.22,7847,48.9926%
123,Dying Light,2016,197764,42719,17133,169,12842,266,57,4.63,2016-03-01,4064.54,-3977.43,10821,37.5616%
127,War Thunder,2016,193452,24120,1601,84,3956,260,32,8.02,2016-03-01,11608.99,1215.52,24087,48.1961%
128,Punch Club,2016,192911,2276,23460,15,502,259,3,84.76,2016-03-01,381.3,-87.52,1538,24.7919%
129,Outlast,2016,192265,16491,6145,61,6073,258,22,11.66,2016-03-01,177.35,-37.1,437,40.5835%
132,Devil Daggers,2016,180538,1297,32223,19,520,242,1,139.2,2016-03-01,78.83,8.34,214,36.8364%
134,Layers of Fear,2016,177053,10564,6024,59,3779,238,14,16.76,2016-03-01,96.03,-56.84,298,32.2248%
137,Subnautica,2016,169436,6454,31652,33,1362,228,8,26.25,2016-03-01,2377.51,823.13,6371,37.3177%
141,Tabletop Simulator,2016,164082,2396,35200,15,694,220,3,68.48,2016-03-01,909.06,-373.1,2022,44.9585%
142,Undertale,2016,162562,18197,1950,67,4384,218,24,8.93,2016-03-01,3262.65,-1375.32,6106,53.4335%
148,Left 4 Dead 2,2016,157383,13895,8575,73,3720,211,18,11.33,2016-03-01,9570.79,-2199.95,19083,50.1535%
149,Geometry Dash,2016,156653,13831,2768,50,2079,210,18,11.33,2016-03-01,1783.99,-34.37,3551,50.2391%
150,Cities: Skylines,2016,155806,9172,7792,37,1773,209,12,16.99,2016-03-01,6632.16,-1881.28,13360,49.6419%
151,Danganronpa: Trigger Happy Havoc,2016,154984,2708,3771,17,296,208,3,57.23,2016-03-01,217.48,-81.26,529,41.1115%
156,Grim Dawn,2016,150008,12606,6910,53,1459,201,16,11.9,2016-03-01,7535.73,4232.32,13517,55.75%
157,Grand Theft Auto: San Andreas,2016,149720,8265,1929,39,2424,201,11,18.11,2016-03-01,648.14,-120.23,1223,52.9959%
159,Europa Universalis IV,2016,147729,6157,5797,24,543,198,8,23.99,2016-03-01,8820.68,-359.68,16632,53.0344%
160,Terraria,2016,146351,21016,3021,70,4366,196,28,6.96,2016-03-01,14525.52,-1007.86,25409,57.1668%
166,Company of Heroes 2,2016,137769,7083,1262,28,785,185,9,19.45,2016-03-01,5113.12,-507.64,10001,51.1261%
167,Borderlands 2,2016,136870,20000,4482,66,4011,184,26,6.84,2016-03-01,8030.34,-718.93,19014,42.2338%
172,Don't Starve,2016,123217,6935,1292,23,1601,165,9,17.77,2016-03-01,2814.69,-972.88,4940,56.9775%
175,Rise of the Tomb Raider,2016,117629,12303,3880,48,2985,158,16,9.56,2016-03-01,4583.31,-5690.97,13477,34.0084%
177,Resident Evil 4,2016,116157,3739,34991,18,623,156,5,31.07,2016-03-01,192.85,40.0,607,31.771%
184,TERA,2016,108436,16249,945,49,1620,145,21,6.67,2016-03-01,0.02,-0.27,1,2%
186,SUPERHOT,2016,105869,4294,6548,48,2157,142,5,24.66,2016-03-01,681.63,-1592.72,2669,25.5388%
188,Trove,2016,104096,8553,1901,30,1145,140,11,12.17,2016-03-01,5692.92,-933.54,10708,53.1651%
192,7 Days to Die,2016,99191,8504,4817,58,932,133,11,11.66,2016-03-01,4358.11,-635.91,13227,32.9486%
195,Don't Starve Together,2016,97187,8345,3379,35,1860,130,11,11.65,2016-03-01,5194.59,-1377.64,11154,46.5715%
199,Hitman: Blood Money,2016,93954,860,19504,8,260,126,1,109.25,2016-03-01,232.17,90.62,630,36.8524%
200,Ultra Street Fighter IV,2016,93937,969,23183,8,409,126,1,96.94,2016-03-01,344.64,-353.63,599,57.5359%
2,Counter-Strike: Global Offensive,2016,71723213,721644,1059002,2119,97614,99754,1003,99.39,2016-04-01,375795.87,-3631.08,850485,44.1861%
3,Dota 2,2016,42691310,319832,341103,815,30056,59375,444,133.48,2016-04-01,656944.37,-15610.52,1164041,56.4365%
6,Call of Duty: Black Ops III,2016,14608621,1188774,157156,3583,194704,20317,1653,12.29,2016-04-01,9311.94,-2565.29,21544,43.2229%
9,Tom Clancy's The Division,2016,7062036,542007,37151,1651,72495,9822,753,13.03,2016-04-01,26394.3,-38671.01,54455,48.4699%
19,SMITE,2016,3524821,173748,23020,449,25390,4902,241,20.29,2016-04-01,11334.55,325.54,22526,50.3176%
20,Street Fighter V,2016,3333695,44268,72891,204,7748,4636,61,75.31,2016-04-01,2249.6,-707.49,5527,40.702%
23,Arma 3,2016,3130387,85471,37967,277,7708,4353,118,36.63,2016-04-01,20292.43,-1440.8,41127,49.3409%
26,Grand Theft Auto V,2016,2372863,313808,20608,992,66195,3300,436,7.56,2016-04-01,31671.3,-2329.14,65878,48.0757%
29,Enter the Gungeon,2016,2156489,48408,39857,307,9249,2999,67,44.55,2016-04-01,4618.68,4615.52,13574,34.0259%
30,Path of Exile,2016,1931932,58329,15518,173,4580,2686,81,33.12,2016-04-01,10619.47,-6133.14,22159,47.924%
31,Rocket League,2016,1927872,172514,34764,530,46316,2681,239,11.18,2016-04-01,29199.3,4656.51,102684,28.4361%
32,Tom Clancy's Rainbow Six Siege,2016,1649119,143717,35253,409,22162,2293,199,11.47,2016-04-01,7643.56,1518.1,29170,26.2035%
35,Rust,2016,1482614,49774,35447,178,5929,2062,69,29.79,2016-04-01,25605.94,-1661.66,49920,51.294%
36,DayZ,2016,1463084,54467,18068,165,4623,2034,75,26.86,2016-04-01,5287.04,-706.31,10944,48.3099%
43,ARK: Survival Evolved,2016,1203741,67496,7857,177,5210,1674,93,17.83,2016-04-01,35385.63,-278.41,63900,55.3766%
49,Stardew Valley,2016,844542,46361,15377,150,6573,1174,64,18.22,2016-04-01,19843.44,-15104.02,43286,45.8426%
55,Fallout 4,2016,714409,130886,6613,358,23518,993,182,5.46,2016-04-01,26561.57,-1964.9,52480,50.6127%
58,Mortal Kombat X,2016,619352,27824,19478,101,7296,861,38,22.26,2016-04-01,481.66,-98.78,1076,44.7639%
61,Garry's Mod,2016,601371,30163,16341,114,6079,836,41,19.94,2016-04-01,30769.9,-188.3,59069,52.0915%
66,Subnautica,2016,522809,6764,20610,35,1221,727,9,77.29,2016-04-01,1686.46,-691.05,3996,42.2037%
68,Kerbal Space Program,2016,517399,11636,36181,45,1578,719,16,44.47,2016-04-01,4110.37,800.16,9096,45.1888%
69,Team Fortress 2,2016,510682,29726,7238,103,5181,710,41,17.18,2016-04-01,51434.75,-1319.62,81206,63.3386%
72,Sid Meier's Civilization V,2016,469211,9958,22764,36,1487,652,13,47.12,2016-04-01,34055.3,-2946.68,59108,57.6154%
73,Faeria,2016,450898,3260,15354,15,384,627,4,138.31,2016-04-01,247.16,62.45,661,37.3918%
79,Factorio,2016,415444,18347,24411,58,2117,577,25,22.64,2016-04-01,8875.26,-130.18,15801,56.169%
82,Warframe,2016,349327,69858,12654,218,11500,485,97,5.0,2016-04-01,27145.55,-6602.0,47242,57.4606%
88,Cities: Skylines,2016,321156,6960,26427,28,1304,446,9,46.14,2016-04-01,5437.89,-1194.26,10582,51.3881%
92,Golf With Your Friends,2016,315531,3537,28581,24,1189,438,4,89.21,2016-04-01,237.28,81.02,587,40.4225%
93,The Elder Scrolls Online,2016,315286,44127,2478,120,6736,438,61,7.14,2016-04-01,1881.4,-543.52,3461,54.36%
