Rank,Game,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,date,year,month,Avg_players,Gain_players,Peak_players,avg_peak_perc_players
4,Counter-Strike: Global Offensive,66797699,1511619,828949,4667,197089,89902,2034,44.19,2016-01-01,2020,March,671033.29,127054.13,1145972,58.5558%
6,Grand Theft Auto V,56174067,1056098,184708,3278,110705,75604,1421,53.19,2016-01-01,2020,March,116386.37,-26338.11,209493,55.5562%
7,Dota 2,41849138,544228,164524,1490,35212,56324,732,76.9,2016-01-01,2020,March,437147.36,31168.71,743933,58.7617%
16,Path of Exile,13926308,292398,117037,3236,17070,18743,393,47.63,2016-01-01,2020,March,42332.85,24751.19,132508,31.9474%
17,PLAYERUNKNOWN'S BATTLEGROUNDS,13775512,623229,72358,1359,57987,18540,838,22.1,2016-01-01,2020,March,228467.17,-29117.16,562028,40.6505%
19,Tom Clancy's Rainbow Six Siege,13071194,1143568,69354,3068,152219,17592,1539,11.43,2016-01-01,2020,March,119877.88,22210.54,198567,60.3715%
20,Dead by Daylight,11911331,596711,50220,1458,55228,16031,803,19.96,2016-01-01,2020,March,30347.14,6925.91,51146,59.3343%
22,Rocket League,10498059,422375,189258,1518,83660,14129,568,24.85,2016-01-01,2020,March,48445.13,7852.98,119124,40.6678%
23,DOOM Eternal,10275689,332177,140962,4196,48508,13829,447,30.93,2016-01-01,2020,March,31279.17,-2985.68,84865,36.8576%
26,Destiny 2,9267132,619405,85865,2334,50146,12472,833,14.96,2016-01-01,2020,March,77571.4,14522.77,117425,66.0604%
27,RimWorld,6548503,61694,40076,153,4834,8813,83,106.14,2016-01-01,2020,March,26111.78,10674.82,41637,62.7129%
30,Rust,4988329,163575,24070,494,16495,6713,220,30.5,2016-01-01,2020,March,58442.03,8366.82,102296,57.1303%
32,Half-Life: Alyx,4770477,60071,303620,2399,11019,6420,80,79.41,2016-01-01,2020,March,7585.02,-745.6944444444445,16459,46.0843%
36,Ori and the Will of the Wisps,4166360,142104,68414,1502,18078,5607,191,29.32,2016-01-01,2020,March,8324.39,-695.8366666666667,31224,26.6602%
39,Age of Empires II: Definitive Edition,3744552,32795,54835,135,3459,5039,44,114.18,2016-01-01,2020,March,13365.76,2213.73,30989,43.1307%
41,NBA 2K20,3731517,332195,40615,1159,44954,5022,447,11.23,2016-01-01,2020,March,20442.64,258.77,33858,60.3776%
42,Black Desert Online,3578533,176093,13271,359,11948,4816,237,20.32,2016-01-01,2020,March,24060.37,9027.52,37034,64.9683%
46,ARK: Survival Evolved,3024507,225503,23061,625,16504,4070,303,13.41,2016-01-01,2020,March,87738.7,34344.52,157355,55.7584%
47,Monster Hunter: World,2987052,231102,22233,764,21266,4020,311,12.93,2016-01-01,2020,March,78026.05,-28785.88,219544,35.5401%
50,SMITE,2859327,131331,12149,378,14324,3848,176,21.77,2016-01-01,2020,March,12686.08,2096.09,25334,50.0753%
54,World of Warships,2333880,61758,11615,160,4587,3141,83,37.79,2016-01-01,2020,March,10651.79,183.58,19402,54.9005%
56,The Elder Scrolls Online,2102807,71605,25190,200,6076,2830,96,29.37,2016-01-01,2020,March,14755.91,-982.79,25432,58.021%
59,FINAL FANTASY XIV Online,1913929,240505,11083,1144,16591,2575,323,7.96,2016-01-01,2020,March,14297.16,1241.48,23360,61.2036%
61,MapleStory,1884405,65391,20913,172,4217,2536,88,28.82,2016-01-01,2020,March,1140.76,334.36,2545,44.8236%
70,VRChat,1622188,66846,51406,223,6981,2183,89,24.27,2016-01-01,2020,March,9466.15,1486.45,14931,63.3993%
73,F1 2019,1508101,25448,181862,197,7070,2029,34,59.26,2016-01-01,2020,March,4421.41,2958.5,12736,34.7158%
82,The Witcher 3: Wild Hunt,1320731,86371,17963,270,12105,1777,116,15.29,2016-01-01,2020,March,21457.11,-6289.73,49787,43.0978%
85,Black Mesa,1186651,22545,35028,96,3762,1597,30,52.63,2016-01-01,2020,March,2768.8,2131.67,7116,38.9095%
86,Resident Evil 2,1179402,81124,20170,307,14722,1587,109,14.54,2016-01-01,2020,March,2518.13,-91.42,5432,46.3573%
87,DayZ,1174659,95072,9120,273,9339,1580,127,12.36,2016-01-01,2020,March,15527.42,-2211.59,27255,56.9709%
90,Mortal Kombat 11,1090406,41163,44425,262,7703,1467,55,26.49,2016-01-01,2020,March,1998.61,-6.37,5016,39.8447%
91,Slay the Spire,1084648,22361,36941,205,3804,1459,30,48.51,2016-01-01,2020,March,7990.12,-1524.92,10626,75.1941%
92,Hunt: Showdown,1078524,94781,8066,338,9326,1451,127,11.38,2016-01-01,2020,March,6019.75,532.01,12856,46.8244%
93,Stardew Valley,1066389,96548,13850,256,15192,1435,129,11.05,2016-01-01,2020,March,27388.06,3690.9,45512,60.1777%
95,Football Manager 2020,1048300,28962,16549,118,2748,1410,38,36.2,2016-01-01,2020,March,76022.26,28470.63,189230,40.1745%
96,Borderlands 3,1045528,120569,10733,597,16216,1407,162,8.67,2016-01-01,2020,March,53124.97,-4953.831111111111,93597,56.7593%
97,Warframe,1011639,105581,52982,349,10856,1361,142,9.58,2016-01-01,2020,March,52827.37,11892.49,88215,59.8848%
98,Street Fighter V,1002428,32354,29213,94,3860,1349,43,30.98,2016-01-01,2020,March,1663.67,-661.12,2485,66.9485%
105,DOOM,924047,65634,19331,332,14243,1243,88,14.08,2016-01-01,2020,March,5246.29,2421.31,12893,40.691%
108,Knight Online,915978,13069,6808,51,781,1232,17,70.09,2016-01-01,2020,March,1674.56,375.44,3532,47.4111%
110,Motorsport Manager,878718,2338,32394,19,318,1182,3,375.84,2016-01-01,2020,March,1021.55,465.25,2381,42.9042%
124,Yu-Gi-Oh! Duel Links,769014,14198,10051,49,1660,1035,19,54.16,2016-01-01,2020,March,7169.37,1362.25,11218,63.9095%
129,7 Days to Die,729236,80171,12573,230,7206,981,107,9.1,2016-01-01,2020,March,18107.24,1155.18,35936,50.3875%
130,The Forest,728395,66124,15368,243,12900,980,88,11.02,2016-01-01,2020,March,9235.19,2510.04,27977,33.0099%
131,Farming Simulator 19,726147,72793,7387,270,7167,977,97,9.98,2016-01-01,2020,March,14142.42,2251.59,33967,41.6358%
135,eFootball PES 2020,714366,24876,18115,96,3770,961,33,28.72,2016-01-01,2020,March,10646.73,2016.08,20951,50.8173%
136,Golf It!,695277,4817,28907,39,1843,935,6,144.34,2016-01-01,2020,March,554.68,166.45,1834,30.2443%
137,Garry's Mod,693888,32044,49885,139,8136,933,43,21.65,2016-01-01,2020,March,32020.84,7215.81,61933,51.7024%
138,Wolcen: Lords of Mayhem,684919,43457,18049,240,4534,921,58,15.76,2016-01-01,2020,March,11559.97,-20186.51,49571,23.32%
139,The Elder Scrolls V: Skyrim,680547,73779,7523,205,9824,915,99,9.22,2016-01-01,2020,March,8551.21,842.99,16711,51.1711%
141,For Honor,661629,42448,10770,137,6985,890,57,15.59,2016-01-01,2020,March,3986.98,274.93,7217,55.2443%
142,Conan Exiles,652610,44145,3875,123,3098,878,59,14.78,2016-01-01,2020,March,9493.65,99.71,15605,60.8372%
145,Don't Starve Together,634990,32792,4946,118,4908,854,44,19.36,2016-02-01,2020,March,15659.07,1312.63,30474,51.385%
146,Paladins,629885,76204,9600,237,13239,847,102,8.27,2016-02-01,2020,March,13920.79,976.01,25560,54.4632%
150,Euro Truck Simulator 2,608468,92264,6022,374,11763,818,124,6.59,2016-02-01,2020,March,20550.79,1775.4,52047,39.4851%
153,Europa Universalis IV,576643,12202,4208,52,1144,776,16,47.26,2016-02-01,2020,March,16190.96,1318.68,29916,54.1214%
155,State of Decay 2,564213,30477,18262,150,4395,759,41,18.51,2016-02-01,2020,March,7998.47,-674.0655555555555,15759,50.7549%
156,Stellaris,562399,20133,21339,146,2395,756,27,27.93,2016-02-01,2020,March,22285.79,12653.12,64120,34.7564%
157,Gears 5,560321,36712,15312,152,4770,754,49,15.26,2016-02-01,2020,March,247.68,-57.51,477,51.9245%
158,Metin2,543103,19326,4691,92,1753,730,26,28.1,2016-02-01,2020,March,1062.18,534.14,3121,34.0333%
160,FTL: Faster Than Light,538419,6403,18568,174,1076,724,8,84.09,2016-02-01,2020,March,1229.95,-41.82,2190,56.1621%
162,Grand Theft Auto: San Andreas,525047,24743,6222,89,4640,706,33,21.22,2016-02-01,2020,March,1339.07,109.71,2462,54.3895%
164,Hollow Knight,513075,38399,12231,112,5450,690,51,13.36,2016-02-01,2020,March,3972.28,-69.39,5911,67.2015%
165,Terraria,512677,51247,19929,156,8647,690,68,10.0,2016-02-01,2020,March,30993.52,3182.51,48542,63.8489%
169,Cities: Skylines,487936,21190,30123,109,3938,656,28,23.03,2016-02-01,2020,March,17008.95,4781.64,56061,30.3401%
171,Dota Underlords,484057,17501,10135,56,2372,651,23,27.66,2016-02-01,2020,March,14225.19,3626.76,29166,48.7732%
173,Half-Life 2,475945,11281,12877,45,2437,640,15,42.19,2016-02-01,2020,March,2400.3,779.63,6882,34.8779%
182,Friday the 13th: The Game,445025,22023,31228,278,5309,598,29,20.21,2016-02-01,2020,March,795.04,418.4,2722,29.2079%
184,Beat Saber,436507,42125,30631,126,10113,587,56,10.36,2016-02-01,2020,March,1634.69,-4.12,3018,54.1647%
186,Sid Meier's Civilization VI,425484,16225,8378,70,2507,572,21,26.22,2016-02-01,2020,March,35834.93,5763.98,66455,53.9236%
190,Hearts of Iron IV,413997,12619,3322,53,1753,557,16,32.81,2016-02-01,2020,March,21697.36,1648.9,42745,50.76%
192,Raft,410500,22396,17658,78,4479,552,30,18.33,2016-02-01,2020,March,4300.35,-423.51,8907,48.2806%
195,Call of Duty: Black Ops III,392481,76848,8268,289,15032,528,103,5.11,2016-02-01,2020,March,2353.41,468.04,4763,49.4102%
197,Danganronpa 2: Goodbye Despair,384870,3959,14278,18,349,517,5,97.21,2016-02-01,2020,March,505.09,94.46,879,57.4619%
199,War Thunder,371775,47610,4432,141,5701,500,64,7.81,2016-02-01,2020,March,20321.06,5402.72,35377,57.4414%
5,Counter-Strike: Global Offensive,86673161,1981314,535624,5542,215744,120546,2755,43.75,2016-02-01,2020,April,857604.22,186570.94,1305714,65.6809%
7,Grand Theft Auto V,75744434,1450376,240860,4233,122286,105346,2017,52.22,2016-02-01,2020,April,126086.73,9700.36,243284,51.827%
8,Dota 2,54477072,673933,360147,1747,34147,75767,937,80.83,2016-02-01,2020,April,493300.27,56152.91,801121,61.5763%
19,Resident Evil 3,15506656,415801,318002,5619,51549,21566,578,37.29,2016-02-01,2020,April,5771.4,-606.56,32635,17.6847%
22,Mount & Blade II: Bannerlord,13446480,218393,132049,1010,17732,18701,303,61.57,2016-02-01,2020,April,113492.99,113492.74,248034,45.757%
23,Dead by Daylight,12971551,673816,68689,1790,55513,18041,937,19.25,2016-02-01,2020,April,32392.67,2045.52,58477,55.3939%
24,PLAYERUNKNOWN'S BATTLEGROUNDS,11950808,619812,71953,1371,45116,16621,862,19.28,2016-02-01,2020,April,242847.28,14380.11,913075,26.5966%
25,Tom Clancy's Rainbow Six Siege,11393509,1293668,42454,3131,136957,15846,1799,8.81,2016-02-01,2020,April,108514.57,-11363.31,194102,55.906%
26,Path of Exile,9404140,239978,26884,598,10489,13079,333,39.19,2016-02-01,2020,April,39235.06,-3097.79,73985,53.0311%
27,Rocket League,8220061,525512,141539,1322,87995,11432,730,15.64,2016-02-01,2020,April,54133.15,5688.02,100771,53.719%
29,Last Oasis,7336458,137112,89047,736,6704,10203,190,53.51,2016-02-01,2020,April,14852.31,-1557.79,33104,44.8656%
31,Destiny 2,7197240,578827,58881,1881,40966,10010,805,12.43,2016-02-01,2020,April,66219.64,-11351.75,100645,65.7953%
34,NBA 2K20,6390045,565452,36322,1619,54702,8887,786,11.3,2016-02-01,2020,April,18067.17,-2375.46,37175,48.6003%
42,SMITE,4071594,172933,22708,459,14382,5662,240,23.54,2016-02-01,2020,April,16504.68,3818.6,27089,60.9276%
43,The Elder Scrolls Online,3847242,116136,39160,298,8874,5350,161,33.13,2016-02-01,2020,April,28467.65,13711.74,49061,58.025%
45,Rust,3742896,190069,40997,742,15530,5205,264,19.69,2016-02-01,2020,April,67504.05,9062.03,125415,53.8245%
46,Black Desert Online,3735559,172106,9591,352,9179,5195,239,21.7,2016-02-01,2020,April,23192.8,-867.57,30086,77.0883%
47,VRChat,3722313,84386,70578,228,7629,5177,117,44.11,2016-02-01,2020,April,11728.97,2262.82,16404,71.5007%
48,Fallout 76,3501875,145699,37793,900,11277,4870,202,24.03,2016-02-01,2020,April,15807.5,-1095.39375,21931,72.0783%
51,World of Warships,3185105,74954,29665,232,4595,4429,104,42.49,2016-02-01,2020,April,10529.03,-122.76,22687,46.41%
53,F1 2019,3077000,45836,210442,253,9038,4279,63,67.13,2016-02-01,2020,April,5293.7,872.29,12370,42.7947%
59,Monster Hunter: World,2563293,219139,13238,648,17431,3565,304,11.7,2016-02-01,2020,April,64197.78,-13828.27,149860,42.8385%
64,DOOM Eternal,2197924,149598,37518,697,22026,3056,208,14.69,2016-02-01,2020,April,7587.19,-23691.98,19915,38.0979%
69,FINAL FANTASY XIV Online,2022378,239858,32256,1062,15829,2812,333,8.43,2016-02-01,2020,April,17084.35,2787.19,26373,64.7797%
70,Age of Empires II: Definitive Edition,2015537,41554,15293,119,3460,2803,57,48.5,2016-02-01,2020,April,19202.51,5836.75,34321,55.9497%
71,MapleStory,1940693,65153,25285,188,3794,2699,90,29.79,2016-02-01,2020,April,2190.18,1049.42,3949,55.4616%
72,Green Hell,1915955,59825,59600,249,7153,2664,83,32.03,2016-02-01,2020,April,6227.79,5804.94,19619,31.7437%
77,ARK: Survival Evolved,1700365,213767,12957,509,13087,2364,297,7.95,2016-02-01,2020,April,82091.26,-5647.44,125636,65.3406%
78,Street Fighter V,1694848,35491,25065,91,3210,2357,49,47.75,2016-02-01,2020,April,1665.71,2.04,2534,65.7344%
81,RimWorld,1596864,44179,17115,118,3189,2220,61,36.15,2016-02-01,2020,April,17571.78,-8540.01,25649,68.5086%
83,The Witcher 3: Wild Hunt,1576551,101232,14775,274,10820,2192,140,15.57,2016-02-01,2020,April,27245.33,5788.21,61236,44.4923%
86,Football Manager 2020,1491443,36131,22571,127,2567,2074,50,41.28,2016-02-01,2020,April,81180.41,5158.15,146436,55.4375%
89,Deadside,1382600,62758,34454,433,6331,1922,87,22.03,2016-02-01,2020,April,5374.76,-568.57875,9573,56.145%
94,Garry's Mod,1297086,43250,88164,151,8643,1804,60,29.99,2016-02-01,2020,April,38758.97,6738.13,59682,64.9425%
96,DayZ,1276640,118617,4917,307,9306,1775,164,10.76,2016-02-01,2020,April,17504.27,1976.85,28096,62.3016%
97,Subnautica,1261735,58423,45117,171,7364,1754,81,21.6,2016-02-01,2020,April,4754.26,1262.7,8482,56.0512%
100,Borderlands 3,1235001,123238,9192,334,13395,1717,171,10.02,2016-02-01,2020,April,22173.78,-30951.19,49479,44.8145%
104,Risk of Rain 2,1175237,74482,43879,324,12193,1634,103,15.78,2016-02-01,2020,April,18430.64,13077.21,64501,28.5742%
105,Knight Online,1172073,19457,5635,68,945,1630,27,60.24,2016-02-01,2020,April,2763.9,1089.34,3735,74%
106,Warframe,1152123,128456,34756,290,10063,1602,178,8.97,2016-02-01,2020,April,56318.77,3491.4,94162,59.8105%
107,The Elder Scrolls V: Skyrim,1145029,99901,8724,245,10447,1592,138,11.46,2016-02-01,2020,April,10033.35,1482.14,15975,62.8066%
110,Don't Starve Together,1119371,43086,17788,125,5066,1556,59,25.98,2016-02-01,2020,April,17576.51,1917.44,45509,38.6221%
112,Slay the Spire,1080714,19854,8685,99,2877,1503,27,54.43,2016-02-01,2020,April,7088.58,-901.54,14267,49.6851%
113,Metin2,1077906,29231,4934,93,2314,1499,40,36.88,2016-02-01,2020,April,2110.15,1047.97,3515,60.0327%
117,Euro Truck Simulator 2,1029087,133837,30827,516,13334,1431,186,7.69,2016-02-01,2020,April,28667.3,8116.51,60883,47.0859%
119,Hunt: Showdown,991408,90979,19184,253,6825,1378,126,10.9,2016-02-01,2020,April,5892.6,-127.15,12472,47.2466%
125,Motorsport Manager,889460,6162,31849,40,603,1237,8,144.35,2016-02-01,2020,April,2004.58,983.03,4943,40.5539%
130,Call of Duty: Black Ops III,833063,139200,28947,381,18425,1158,193,5.98,2016-02-01,2020,April,3212.01,858.6,5445,58.9901%
132,Sid Meier's Civilization VI,822831,23914,30435,109,2695,1144,33,34.41,2016-02-01,2020,April,43558.23,7723.3,70298,61.9623%
135,Farming Simulator 19,781464,86557,11905,297,6640,1086,120,9.03,2016-02-01,2020,April,17385.85,3243.43,34342,50.6256%
137,7 Days to Die,759550,85636,10050,221,6446,1056,119,8.87,2016-02-01,2020,April,18270.02,162.78,29749,61.4139%
139,Yu-Gi-Oh! Duel Links,732594,16865,19131,50,1647,1018,23,43.44,2016-02-01,2020,April,7894.83,725.46,10980,71.9019%
140,Resident Evil 2,726706,98288,9132,363,15308,1010,136,7.39,2016-02-01,2020,April,3662.67,1144.54,7418,49.3754%
142,Paladins,688283,112680,5049,308,15732,957,156,6.11,2016-03-01,2020,April,16994.88,3074.08,28658,59.3024%
150,Grand Theft Auto: San Andreas,634782,34819,5240,98,4891,882,48,18.23,2016-03-01,2020,April,1460.93,121.86,2347,62.2467%
155,Cities: Skylines,609188,28418,27378,99,3786,847,39,21.44,2016-03-01,2020,April,20066.5,3057.55,41674,48.1511%
156,Mortal Kombat 11,608975,41760,8257,107,5571,846,58,14.58,2016-03-01,2020,April,1720.45,-278.16,3639,47.2781%
157,Beat Saber,608942,53353,48872,147,9698,846,74,11.41,2016-03-01,2020,April,1776.6,141.91,2830,62.7774%
159,Terraria,594608,90553,32292,234,10920,826,125,6.57,2016-03-01,2020,April,51315.09,20321.57,72280,70.9949%
160,Stardew Valley,594118,83374,6551,198,11201,826,115,7.13,2016-03-01,2020,April,29951.17,2563.11,44965,66.61%
163,Albion Online,590191,38029,4211,100,2442,820,52,15.52,2016-03-01,2020,April,6974.26,2220.75,10616,65.6957%
168,Gears 5,570857,62120,5776,210,5809,793,86,9.19,2016-03-01,2020,April,1050.39,802.71,5659,18.5614%
169,Deceit,566465,24550,44946,94,6969,787,34,23.07,2016-03-01,2020,April,3818.75,1216.36,6434,59.3527%
174,Arma 3,559209,75247,14639,365,6013,777,104,7.43,2016-03-01,2020,April,20266.15,5050.62,40307,50.2795%
176,NBA 2K19,557930,17865,1826,56,2151,775,24,31.23,2016-03-01,2020,April,2602.76,-567.11,7959,32.7021%
177,Europa Universalis IV,548749,14576,3391,51,1088,763,20,37.65,2016-03-01,2020,April,16665.22,474.26,26508,62.8686%
181,The Forest,526826,79777,15326,229,12076,732,110,6.6,2016-03-01,2020,April,7586.4,-1648.79,16351,46.3972%
187,The Isle,500219,16751,11947,55,1192,695,23,29.86,2016-03-01,2020,April,4440.43,417.55,6412,69.2519%
189,Half-Life: Alyx,491862,27024,23027,160,5320,684,37,18.2,2016-03-01,2020,April,2171.26,-5413.76,6344,34.2254%
191,Ori and the Will of the Wisps,482683,39712,34927,150,5660,671,55,12.15,2016-03-01,2020,April,2108.31,-6216.09,7822,26.9536%
192,State of Decay 2,473014,20298,10855,61,2452,657,28,23.3,2016-03-01,2020,April,3505.22,-4493.25,9183,38.1708%
193,Conqueror's Blade,468444,24029,20366,89,1596,651,33,19.49,2016-03-01,2020,April,3471.62,3153.28,10247,33.8794%
195,Brawlhalla,461782,77102,13675,218,14859,642,107,5.99,2016-03-01,2020,April,17215.27,2144.2,26948,63.8833%
197,Tabletop Simulator,460466,19026,47256,94,3879,640,26,24.2,2016-03-01,2020,April,12993.71,7752.87,36793,35.3157%
198,Stranded Deep,454174,18584,21820,139,2664,631,25,24.44,2016-03-01,2020,April,682.36,170.04,1718,39.7183%
5,Grand Theft Auto V,100049997,2101914,373709,5847,197660,134656,2828,47.6,2016-03-01,2020,May,141369.88,15283.15,260562,54.2558%
7,Counter-Strike: Global Offensive,76786808,1783788,380494,4853,187999,103346,2400,43.05,2016-03-01,2020,May,768795.25,-88808.97,1193359,64.4228%
8,Dota 2,51023847,717401,199291,1758,33057,68672,965,71.12,2016-03-01,2020,May,484189.02,-9111.25,793135,61.0475%
17,Dead by Daylight,16391093,823254,128138,2183,62995,22060,1108,19.91,2016-03-01,2020,May,33732.64,1339.98,57799,58.362%
19,PLAYERUNKNOWN'S BATTLEGROUNDS,14217448,594699,72660,1220,40736,19135,800,23.91,2016-03-01,2020,May,243258.78,411.51,553121,43.9793%
22,Terraria,13299419,387419,125768,4989,39524,17899,521,34.33,2016-03-01,2020,May,129808.62,78493.53,486918,26.6592%
23,Tom Clancy's Rainbow Six Siege,11483497,1338101,106988,2972,139671,15455,1800,8.58,2016-03-01,2020,May,80099.3,-28415.26,146359,54.728%
27,NBA 2K20,8638002,706043,61229,1868,62943,11625,950,12.23,2016-03-01,2020,May,17462.46,-604.71,29072,60.0662%
32,Rocket League,6958942,535445,92615,1202,87250,9366,720,13.0,2016-03-01,2020,May,45615.55,-8517.6,79770,57.1838%
33,Destiny 2,6878581,549016,33126,1490,37636,9257,738,12.53,2016-03-01,2020,May,51837.42,-14382.23,76476,67.7826%
37,Path of Exile,5447251,134392,20628,386,6467,7331,180,40.53,2016-03-01,2020,May,18854.3,-20380.76,39620,47.5878%
39,The Elder Scrolls Online,5051253,112316,48995,329,7674,6798,151,44.97,2016-03-01,2020,May,23395.42,-5072.23,42677,54.8197%
43,SMITE,4679979,186584,32960,491,15103,6298,251,25.08,2016-03-01,2020,May,15307.69,-1196.99,25467,60.1079%
49,Rust,3982745,198542,40436,755,15413,5360,267,20.06,2016-03-01,2020,May,57344.65,-10159.4,102051,56.1921%
50,Black Desert Online,3792743,181453,38909,362,8699,5104,244,20.9,2016-03-01,2020,May,19943.3,-3249.5,25391,78.5448%
57,F1 2019,3049972,54564,150704,282,10710,4104,73,55.9,2016-03-01,2020,May,4438.52,-855.18,10993,40.3759%
58,World of Warships,3032785,81788,15875,238,4789,4081,110,37.08,2016-03-01,2020,May,9667.88,-861.15,17708,54.5961%
60,Age of Empires II: Definitive Edition,2885600,45127,29594,118,3623,3883,60,63.94,2016-03-01,2020,May,17628.12,-1574.4,33160,53.1608%
61,Monster Hunter: World,2794831,196237,34107,556,15953,3761,264,14.24,2016-03-01,2020,May,43703.71,-20494.08,106972,40.8553%
63,Scrap Mechanic,2519411,65680,114076,329,6519,3390,88,38.36,2016-03-01,2020,May,14762.87,13272.59,46366,31.8399%
64,VRChat,2485936,89038,22944,243,7914,3345,119,27.92,2016-03-01,2020,May,11776.19,47.21,17025,69.17%
67,MapleStory,2402346,73873,16661,181,3964,3233,99,32.52,2016-03-01,2020,May,2910.55,720.37,3942,73.8343%
68,Fallout 76,2369923,149568,22899,499,10289,3189,201,15.85,2016-03-01,2020,May,14475.32,-1332.18,32858,44.0542%
72,FINAL FANTASY XIV Online,2281787,278327,11933,1059,16916,3071,374,8.2,2016-03-01,2020,May,18015.75,931.4,26889,67.0004%
76,Mortal Kombat 11,2206652,77215,93972,825,9449,2969,103,28.58,2016-03-01,2020,May,2643.95,923.5,8681,30.4567%
84,ARK: Survival Evolved,1994504,203722,20631,505,11787,2684,274,9.79,2016-03-01,2020,May,60918.07,-21173.18,101631,59.9404%
87,DayZ,1911441,150150,12341,448,12404,2572,202,12.73,2016-03-01,2020,May,16328.97,-1175.31,35397,46.1309%
88,Mount & Blade II: Bannerlord,1876556,49439,19770,186,4545,2525,66,37.96,2016-03-01,2020,May,31529.86,-81963.14,77878,40.4862%
89,Sid Meier's Civilization VI,1826947,83399,21934,540,12427,2458,112,21.91,2016-03-01,2020,May,41792.36,-1765.87,76439,54.6741%
95,Monster Train,1653841,16829,35351,109,1978,2225,22,98.27,2016-03-01,2020,May,10398.29,-1337.62,14037,74.0777%
97,Street Fighter V,1513065,41270,8417,110,3458,2036,55,36.66,2016-03-01,2020,May,1708.08,42.37,2578,66.256%
104,Football Manager 2020,1339023,38555,25275,136,2501,1802,51,34.73,2016-03-01,2020,May,69159.33,-12021.08,123114,56.175%
105,Warframe,1328803,136208,38800,389,9830,1788,183,9.76,2016-03-01,2020,May,49687.06,-6631.71,76165,65.2361%
106,Euro Truck Simulator 2,1314740,110073,34580,459,11921,1769,148,11.94,2016-03-01,2020,May,21015.77,-7651.53,43097,48.7639%
109,Fallout 4,1292261,57019,19332,132,5134,1739,76,22.66,2016-03-01,2020,May,15136.06,-850.47,23912,63.299%
111,The Witcher 3: Wild Hunt,1264793,110808,9998,301,11517,1702,149,11.41,2016-03-01,2020,May,21434.48,-5810.85,41736,51.3573%
114,Last Oasis,1180995,44382,8458,154,2059,1589,59,26.61,2016-03-01,2020,May,8399.85,-6452.46,16564,50.7115%
115,Call of Duty: Black Ops III,1175234,180795,37744,410,23243,1581,243,6.5,2016-03-01,2020,May,4798.33,1586.32,8870,54.0962%
117,Subnautica,1168894,59821,30403,163,7541,1573,80,19.54,2016-03-01,2020,May,3275.61,-1478.65,5566,58.8503%
118,Metin2,1168537,28018,7039,90,2094,1572,37,41.71,2016-03-01,2020,May,1448.32,-661.83,2663,54.3868%
123,War Thunder,1104138,67668,19681,257,6118,1486,91,16.32,2016-03-01,2020,May,22476.99,-2313.17,38871,57.8246%
124,Deep Rock Galactic,1103454,38706,30963,162,4763,1485,52,28.51,2016-03-01,2020,May,6563.21,3156.66,15515,42.3024%
125,Knight Online,1081822,19127,7992,84,923,1456,25,56.56,2016-03-01,2020,May,2780.61,16.71,3844,72.3364%
126,The Elder Scrolls V: Skyrim,1069153,108975,12208,252,10523,1438,146,9.81,2016-03-01,2020,May,8665.43,-1367.92,14753,58.7367%
127,The Forest,1066513,103038,38869,265,14806,1435,138,10.35,2016-04-01,2020,May,6226.51,-1359.89,11583,53.7556%
128,Hunt: Showdown,1059913,94434,16499,269,7411,1426,127,11.22,2016-04-01,2020,May,5610.37,-282.23,10746,52.2089%
131,Resident Evil 3,1026093,47215,12265,161,7102,1381,63,21.73,2016-04-01,2020,May,1032.46,-4738.94,2431,42.4706%
132,Gears 5,990327,67092,22707,223,5812,1332,90,14.76,2016-04-01,2020,May,332.88,-717.51,598,55.6656%
139,Hollow Knight,954321,57738,8384,144,6259,1284,77,16.53,2016-04-01,2020,May,5091.95,976.09,11437,44.5217%
140,Farming Simulator 19,953265,139771,35200,529,14009,1282,188,6.82,2016-04-01,2020,May,14940.18,-2445.67,30601,48.8225%
143,DOOM Eternal,928866,64344,17405,193,8837,1250,86,14.44,2016-04-01,2020,May,3231.22,-4355.96,7646,42.2603%
152,Slay the Spire,818551,18896,16529,54,2822,1101,25,43.32,2016-04-01,2020,May,6238.0,-850.59,7994,78.0335%
153,Green Hell,818077,47564,16502,225,6052,1101,64,17.2,2016-04-01,2020,May,4004.43,-2223.35,11684,34.2728%
156,Albion Online,775306,45468,3342,114,2577,1043,61,17.05,2016-04-01,2020,May,7186.19,211.94,10990,65.3884%
158,Raft,768791,36463,31745,102,6024,1034,49,21.08,2016-04-01,2020,May,4218.42,171.4,7386,57.1137%
160,Borderlands 3,762834,92533,9486,283,10136,1026,124,8.24,2016-04-01,2020,May,14973.16,-7200.61,34315,43.6344%
161,Paladins,762188,120869,3544,306,15856,1025,162,6.31,2016-04-01,2020,May,14322.13,-2672.75,28367,50.4887%
162,Friday the 13th: The Game,752590,42823,13788,167,7537,1012,57,17.57,2016-04-01,2020,May,1169.46,513.93,3772,31.0037%
164,Yu-Gi-Oh! Duel Links,750700,18516,6503,51,1768,1010,24,40.54,2016-04-01,2020,May,8588.49,693.66,13896,61.8055%
165,Grand Theft Auto: San Andreas,737589,36041,20155,104,5002,992,48,20.47,2016-04-01,2020,May,1156.06,-304.87,2116,54.6342%
